Name,Gender,Personality,Specie,Birthday,Catchphrase,Skill,Goal,Coffee,Milk,Sugar,Style,Favorite Song,pngurl,search
Anicotti,Female,Peppy,Mouse,February 24,cannoli,Oversleeping,Photographer,Mocha,No milk,No sugar,Flashy,Neapolitan,"https://vignette.wikia.nocookie.net/animalcrossing/images/2/2e/Anicotti_NewLeaf_Official.png/revision/latest?cb=20130721165013""",anicotti
Annalisa,Female,Normal,Anteater,February 6,gumdrop,Waking up early,Astronaut,Mocha,The regular amount of milk,Two spoonfuls of sugar,Iconic,King K.K.,"https://vignette.wikia.nocookie.net/animalcrossing/images/6/6a/CTRP_EAA_NPC-ant08_1_R_ad.png/revision/latest?cb=20180312015133""",annalisa
Annalise,Female,Snooty,Horse,December 2,nipper,Brainteasers,Chef,Blend,Lots of milk,Three spoonfuls of sugar,Official,K.K. Sonata,"https://vignette.wikia.nocookie.net/animalcrossing/images/6/61/Annalise_NewLeaf_Official.png/revision/latest?cb=20160930050833""",annalise
Antonio,Male,Jock,Anteater,October 20,honk,Playing horseshoes,Baseball player,Kilimanjaro,Just a little bit of milk,One spoonful of sugar,Basic,K.K. Faire,"https://vignette.wikia.nocookie.net/animalcrossing/images/e/e5/Antonio_NewLeaf_Official.png/revision/latest?cb=20130818040026""",antonio
Apollo,Male,Cranky,Eagle,July 4,pah,Staying up late,Pilot,Kilimanjaro,Just a little bit of milk,One spoonful of sugar,Rock 'n' roll,K.K. Rock,"https://vignette.wikia.nocookie.net/animalcrossing/images/0/0c/NH-Apollo-Render.png/revision/latest?cb=20200202215708""",apollo
Apple,Female,Peppy,Hamster,September 24,cheekers,Karaoke,Movie Star,Blend,The regular amount of milk,Two spoonfuls of sugar,Cute,I Love You,"https://vignette.wikia.nocookie.net/animalcrossing/images/4/44/Apple_Villager.png/revision/latest?cb=20160504222447""",apple
Astrid,Female,Snooty,Kangaroo,September 8,my pet,Karaoke,Singer,Blue Mountain,Just a little bit of milk,One spoonful of sugar,Rock 'n' roll,I Love You,"https://vignette.wikia.nocookie.net/animalcrossing/images/e/ed/Astrid_NL.png/revision/latest?cb=20130816174546""",astrid
Audie,Female,Peppy,Wolf,August 31,Foxtrot,Unknown,Pop star,Unknown,Unknown,Unknown,Unknown,K.K. Island,"https://vignette.wikia.nocookie.net/animalcrossing/images/a/ac/NH-Audie_poster.png/revision/latest?cb=20200410183255""",audie
Aurora,Female,Normal,Penguin,January 27,b-b-baby,Making Budgets,Doctor,Kilimanjaro,The regular amount of milk,Two spoonfuls of sugar,Official,K.K. Gumbo,"https://vignette.wikia.nocookie.net/animalcrossing/images/9/9c/NH-Aurora-Render.png/revision/latest?cb=20200202215217""",aurora
Ava,Female,Normal,Chicken,April 28,beaker,Peeling apples,Pastry Chef,Blue Mountain,The regular amount of milk,Two spoonfuls of sugar,Official,K.K. Country,"https://vignette.wikia.nocookie.net/animalcrossing/images/b/bc/Ava_NewLeaf_Official.png/revision/latest?cb=20130721171323""",ava
Avery,Male,Cranky,Eagle,February 22,skree-haw,Skimming books,Professor,Kilimanjaro,Just a little bit of milk,One spoonful of sugar,Iconic,K.K. Condor,"https://vignette.wikia.nocookie.net/animalcrossing/images/d/dd/Avery_NH.png/revision/latest?cb=20200227000314""",avery
Axel,Male,Jock,Elephant,March 23,WHONK,Competitive eating,Basketball Player,Kilimanjaro,Just a little bit of milk,One spoonful of sugar,Sporty,K.K. Dixie,"https://vignette.wikia.nocookie.net/animalcrossing/images/6/68/Axel_NewLeaf_Official.png/revision/latest?cb=20130818040134""",axel
Baabara,Female,Snooty,Sheep,March 28,daahling,Drawing circles,Esthetician,Mocha,No milk,No sugar,Ornate,K.K. Swing,"https://vignette.wikia.nocookie.net/animalcrossing/images/2/2a/Baabara_NH_render.png/revision/latest?cb=20200321204640""",baabara
Bam,Male,Jock,Deer,November 7,kablang,Back flipping,Soccer Player,Blend,Just a little bit of milk,One spoonful of sugar,Sporty,DJ K.K.,"https://vignette.wikia.nocookie.net/animalcrossing/images/b/ba/Bam_NewLeaf_Official.png/revision/latest?cb=20140210200209""",bam
Bangle,Female,Peppy,Tiger,August 27,growf,Tongue twisters,President,Mocha,A little bit of milk,One spoonful of sugar,Ornate,K.K. Soul,"https://vignette.wikia.nocookie.net/animalcrossing/images/6/68/Bangle_NH.png/revision/latest?cb=20200308194154""",bangle
Barold,Male,Lazy,Cub,March 2,cubby,Computing,Programmer,Blue Mountain,No Milk,No Sugar,Historical,My Place,"https://vignette.wikia.nocookie.net/animalcrossing/images/6/67/Barold_HD.png/revision/latest?cb=20180518161236""",barold
Beau,Male,Lazy,Deer,April 5,saltlick,Staying awake,Mayor,Mocha,Lots of milk,Three spoonfuls of sugar,Basic,Mountain Song,"https://vignette.wikia.nocookie.net/animalcrossing/images/0/06/Beau_HD.png/revision/latest?cb=20180405150116""",beau
Bea,Female,Normal,Dog,October 15,bingo,Waking up early,Dentist,Kilimanjaro,A little bit of milk,1 spoonful of sugar,,K.K. Soul,"https://vignette.wikia.nocookie.net/animalcrossing/images/3/39/Bea_HD.png/revision/latest?cb=20180518161832""",bea
Beardo,Male,Smug,Bear,September 27,whiskers,Memorizing stuff,Professor,Blue Mountain,Just a little bit of milk,One spoonful of sugar,Official,K.K. Sonata,"https://vignette.wikia.nocookie.net/animalcrossing/images/f/f9/Beardo_HHD.png/revision/latest?cb=20160624003458""",beardo
Becky,Female,Snooty,Chicken,December 9,chicklet,Writing letters,Singer,Mocha,Just a little bit of milk,One spoonful of sugar,Ornate,K.K. Aria,"https://vignette.wikia.nocookie.net/animalcrossing/images/4/41/Becky_NewLeaf_Official.png/revision/latest?cb=20130721172323""",becky
Bella,Female,Peppy,Mouse,December 28,eeks,Staying up late,Singer,Mocha,No milk,No sugar,Rock 'n' roll,K.K. Metal,"https://vignette.wikia.nocookie.net/animalcrossing/images/e/e4/Bella_NewLeaf_Official.png/revision/latest?cb=20130721172434""",bella
Benedict,Male,Lazy,Chicken,October 10,uh-hoo,Remembering stuff,Poet,Mocha,Just a little bit of milk,One spoonful of sugar,Historical,I Love You,"https://vignette.wikia.nocookie.net/animalcrossing/images/d/d0/Benedict_NewLeaf_Official.png/revision/latest?cb=20130721172612""",benedict
Benjamin,Male,Lazy,Dog,August 3,alrighty,Brainteasers,Archaeologist,Kilimanjaro,Just a little bit of milk,One spoonful of sugar,Historical,Wandering,"https://vignette.wikia.nocookie.net/animalcrossing/images/7/7f/Benjamin_HD.png/revision/latest?cb=20180518161900""",benjamin
Bertha,Female,Normal,Hippo,April 25,bloop,Drawing circles,Lawyer,Kilimanjaro,Lots of milk,Three spoonfuls of sugar,Iconic,Space K.K.,"https://vignette.wikia.nocookie.net/animalcrossing/images/8/83/Bertha_NewLeaf_Official.png/revision/latest?cb=20130721172833""",bertha
Bettina,Female,Normal,Mouse,June 12,eekers,Forgetting stuff,Chef,Kilimanjaro,Lots of milk,Three spoonfuls of sugar,Official,K.K. Swing,"https://vignette.wikia.nocookie.net/animalcrossing/images/b/bd/Bettina_NH.png/revision/latest?cb=20200308192230""",bettina
Bianca,Female,Peppy,Tiger,December 13,glimmer,Vaulting,Figure Skater,Kilimanjaro,No milk,No sugar,Modern,K.K. House,"https://vignette.wikia.nocookie.net/animalcrossing/images/6/6f/Bianca_NH.png/revision/latest?cb=20200308194448""",bianca
Biff,Male,Jock,Hippo,March 29,squirt,Limboing,Basketball Player,Mocha,No milk,No sugar,Flashy,The K. Funk,"https://vignette.wikia.nocookie.net/animalcrossing/images/7/7f/Biff_NewLeaf_Official.png/revision/latest?cb=20130721173751""",biff
Big Top,Male,Lazy,Elephant,October 3,villain,Tiptoeing,Superhero,Blue Mountain,Lots of milk,Three spoonfuls of sugar,Basic,K.K. Metal,"https://vignette.wikia.nocookie.net/animalcrossing/images/2/26/Big_Top_-_Animal_Crossing_New_Leaf.png/revision/latest?cb=20130707210448""",bigtop
Bill,Male,Jock,Duck,February 1,quacko,Bunting,Race car driver,Kilimanjaro,Just a little bit of milk,One spoonful of sugar,Sporty,King K.K.,"https://vignette.wikia.nocookie.net/animalcrossing/images/5/53/Bill_NewLeaf_Official.png/revision/latest?cb=20130721173919""",bill
Billy,Male,Jock,Goat,March 25,dagnaabit,Subsistence living,Archaeologist,Blue Mountain,No milk,No sugar,,K.K. Sonata,"https://vignette.wikia.nocookie.net/animalcrossing/images/c/cb/Billy_HD.png/revision/latest?cb=20180518163200""",billy
Biskit,Male,Lazy,Dog,May 13,dog,Hitting snooze,Architect,Mocha,The regular amount of milk,Two spoonfuls of sugar,Basic,K.K. Mambo,"https://vignette.wikia.nocookie.net/animalcrossing/images/d/df/Biskit_NewLeaf_Official.png/revision/latest?cb=20130721174109""",biskit
Bitty,Female,Snooty,Hippo,October 6,my dear,Stomping ground,Designer,Mocha,No Milk,No Sugar,Cute,K.K. Disco,"https://vignette.wikia.nocookie.net/animalcrossing/images/2/25/Bitty_HD.png/revision/latest?cb=20180518163632""",bitty
Blaire,Female,Snooty,Squirrel,July 3,nutlet,Calligraphy,Doctor,Blend,No milk,No sugar,Official,K.K. Island,"https://vignette.wikia.nocookie.net/animalcrossing/images/c/c8/Blair_NH.png/revision/latest?cb=20200309020636""",blaire
Blanche,Female,Snooty,Ostrich,December 21,quite so,Dusting,Chef,Blue Mountain,Lots of milk,Three spoonfuls of sugar,Official,K.K. Jongara,"https://vignette.wikia.nocookie.net/animalcrossing/images/d/df/Blanche_NH.png/revision/latest?cb=20200308184757""",blanche
Bluebear,Female,Peppy,Cub,June 24,peach,Spoon bending,Cartoonist,Mocha,Lots of milk,Three spoonfuls of sugar,Cute,K.K. Ska,"https://vignette.wikia.nocookie.net/animalcrossing/images/e/e6/Bluebear_-_Animal_Crossing_New_Leaf.png/revision/latest?cb=20130707210538""",bluebear
Bob,Male,Lazy,Cat,January 1,pthhhpth,Yo-Yoing,Detective,Kilamanjaro,No milk,No sugar,Flashy,[[K.K. Ragtime Neopolitan (NH)]],"https://vignette.wikia.nocookie.net/animalcrossing/images/b/be/175px-Bob_NLa.png/revision/latest?cb=20200413200623""",bob
Bonbon,Female,Peppy,Rabbit,March 3,deelish,Competitive eating,Swimmer,Mocha,The regular amount of milk,2 spoonfuls of sugar,Cute,K.K. Disco,"https://vignette.wikia.nocookie.net/animalcrossing/images/c/cc/Bonbon_NH.png/revision/latest?cb=20200321103645""",bonbon
Bones,Male,Lazy,Dog,August 4,yip yip,Telling jokes,Explorer,Mocha,The regular amount of milk,Two spoonfuls of sugar,Historical,Forest Life,"https://vignette.wikia.nocookie.net/animalcrossing/images/7/70/Bones_NewLeaf_Official.png/revision/latest?cb=20130721174243""",bones
Boomer,Male,Lazy,Penguin,February 7,human,Oversleeping,Pilot,Blend,A little bit of milk,One spoonful of sugar,Historical,Aloha K.K.,"https://vignette.wikia.nocookie.net/animalcrossing/images/b/b4/Boomer_NewLeaf_Official.png/revision/latest?cb=20130721174546""",boomer
Boone,Male,Jock,Gorilla,September 12,baboom,Dancing,Rugby player,Blend,Just a little bit of milk,One spoonful of sugar,Iconic,K.K. Western,"https://vignette.wikia.nocookie.net/animalcrossing/images/3/32/Boone_NewHorizons.png/revision/latest?cb=20200408115254""",boone
Boots,Male,Jock,Alligator,August 7,munchie,Writing Backwards,Sumo Wrestler,Blue Mountain,Lots of milk,3 spoonfuls of sugar,,K.K. Rally,"https://vignette.wikia.nocookie.net/animalcrossing/images/7/7c/Boots_HD.png/revision/latest?cb=20180518155728""",boots
Boris,Male,Cranky,Pig,November 6,schnort,Tongue twisters,Singer,Kilimanjaro,Lots of milk,3 spoonfuls of sugar,,K.K. House,"https://vignette.wikia.nocookie.net/animalcrossing/images/5/5e/BorisACNL.png/revision/latest?cb=20161211203109""",boris
Boyd,Male,Cranky,Gorilla,October 1,uh-oh,Baton Twirling,Pro Wrestler,Mocha,Lots of milk,3 spoonfuls of sugar,,K.K. Groove,"https://vignette.wikia.nocookie.net/animalcrossing/images/f/f1/Boyd_HD.png/revision/latest?cb=20180518163411""",boyd
Bree,Female,Snooty,Mouse,July 7,cheeseball,Doodling,Dermatologist,Blend,The regular amount of milk,Two spoonfuls of sugar,Official,Two Days Ago,"https://vignette.wikia.nocookie.net/animalcrossing/images/c/c8/BreeNL.png/revision/latest?cb=20190107181759""",bree
Broccolo,Male,Lazy,Mouse,June 30,eat it,Climbing trees,Movie director,Blend,The regular amount of milk,Two spoonfuls of sugar,Flashy,K.K. Ragtime,"https://vignette.wikia.nocookie.net/animalcrossing/images/8/83/Broccolo_NewLeaf_Official.png/revision/latest?cb=20130721175332""",broccolo
Bruce,Male,Cranky,Deer,May 26,gruff,Memorizing,Pro golfer,Blue Mountain,No Milk,No Sugar,Rock 'n' roll,K.K. Blues,"https://vignette.wikia.nocookie.net/animalcrossing/images/4/45/Bruce_HD.png/revision/latest?cb=20180518161455""",bruce
Broffina,Female,Snooty,Chicken,October 24,cluckadoo,Typing,Translator,Blend,Lots of milk,Three spoonfuls of sugar,Flashy,K.K. Flamenco,"https://vignette.wikia.nocookie.net/animalcrossing/images/e/e2/BroffinaHHD.png/revision/latest?cb=20160315043436""",broffina
Bubbles,Female,Peppy,Hippo,September 18,hipster,Limboing,Volleyball player,Mocha,No milk,No sugar,Sporty,K.K. Stroll,"https://vignette.wikia.nocookie.net/animalcrossing/images/d/d2/Bubbles_NewLeaf_Official.png/revision/latest?cb=20130721175520""",bubbles
Buck,Male,Jock,Horse,April 4,pardner,Vaulting,Basketball player,Mocha,Just a little bit of milk,One spoonful of sugar,Sporty,My Place,"https://vignette.wikia.nocookie.net/animalcrossing/images/f/f0/-Buck_-_Animal_Crossing_New_Leaf.png/revision/latest?cb=20200415135129""",buck
Bud,Male,Jock,Lion,August 8,shredded,Rapping,Singer,Blue Mountain,No milk,No sugar,Sporty,K.K. Ska,"https://vignette.wikia.nocookie.net/animalcrossing/images/6/60/Bud_NewLeaf_Official.png/revision/latest?cb=20130818185106""",bud
Bunnie,Female,Peppy,Rabbit,May 9,tee-hee,Staying positive,Gymnast,Blue Mountain,Lots of milk,Three spoonfuls of sugar,Cute,K.K. Aria,"https://vignette.wikia.nocookie.net/animalcrossing/images/b/b2/Bunnie_NH.png/revision/latest?cb=20200321102819""",bunnie
Butch,Male,Cranky,Dog,November 1,ROOOOOWF,Air guitar,Race car driver,Blend,No milk,No sugar,Sporty,K.K. Fusion,"https://vignette.wikia.nocookie.net/animalcrossing/images/d/d2/Butch_-_Animal_Crossing_New_Leaf.png/revision/latest?cb=20130708032928""",butch
Buzz,Male,Cranky,Eagle,December 7,captain,Fishing,Chef,Blue mountain,Lots of milk,3 spoonfuls of sugar,,K.K. Rally,"https://vignette.wikia.nocookie.net/animalcrossing/images/0/05/Buzz_NH.png/revision/latest?cb=20200226235618""",buzz
Cally,Female,Normal,Squirrel,September 4,WHEE,Whistling,Lawyer,Kilimanjaro,A little bit of milk,One spoonful of sugar,Official,K.K. Love Song,"https://vignette.wikia.nocookie.net/animalcrossing/images/a/a6/Cally_NH.png/revision/latest?cb=20200309020719""",cally
Camofrog,Male,Cranky,Frog,June 5,ten-hut,Playing jacks,Pilot,Blue Mountain,The regular amount of milk,Two spoonfuls of sugar,Rock 'n' roll,K.K. Rock,"https://vignette.wikia.nocookie.net/animalcrossing/images/0/0b/Camofrog_NewLeaf_Official.png/revision/latest?cb=20130721180123""",camofrog
Canberra,Female,Sisterly,Koala,May 14,nuh uh,Making Faces,Tennis Player,Kilimanjaro,Lots of milk,Three spoonfuls of sugar,Sporty,K.K. House,"https://vignette.wikia.nocookie.net/animalcrossing/images/4/46/Canberra_HHD.png/revision/latest?cb=20160624002709""",canberra
Candi,Female,Peppy,Mouse,April 13,sweetie,Home repair,Judge,Kilimanjaro,Lots of milk,3 spoonfuls of sugar,Historical,K.K. Ragtime,"https://vignette.wikia.nocookie.net/animalcrossing/images/5/59/Candi_HD.png/revision/latest?cb=20180518164813""",candi
Carmen,Female,Peppy,Rabbit,January 6,nougat,Ventriloquism,Movie director,Blue Mountain,Lots of milk,Three spoonfuls of sugar,Modern,K.K. Technopop,"https://vignette.wikia.nocookie.net/animalcrossing/images/e/eb/Carmen_NH.png/revision/latest?cb=20200321204617""",carmen
Caroline,Female,Normal,Squirrel,July 15,hulaaaa,Yo-yoing,Volleyball player,Kilamanjaro,A little bit of milk,One spoonful of sugar,Cute,DJ K.K.,"https://vignette.wikia.nocookie.net/animalcrossing/images/2/26/Caroline_NH.png/revision/latest?cb=20200309023642""",caroline
Carrie,Female,Normal,Kangaroo,December 5,little one,Making budgets,Illustrator,Mocha,No Milk,No Sugar,,K.K. Lullaby,"https://vignette.wikia.nocookie.net/animalcrossing/images/a/a4/Carrie_HD.png/revision/latest?cb=20180405153741""",carrie
Cashmere,Female,Snooty,Sheep,April 2,baaaby,Peeling apples,Chef,Blend,The regular amount of milk,2 spoonfuls of sugar,,K.K. Country,"https://vignette.wikia.nocookie.net/animalcrossing/images/e/eb/Cashmere_NH.png/revision/latest?cb=20200312021827""",cashmere
Celia,Female,Normal,Eagle,March 25,feathers,Brainteasers,Florist,Mocha,The regular amount of milk,Two spoonfuls of sugar,Cute,K.K. Aria,"https://vignette.wikia.nocookie.net/animalcrossing/images/0/00/Celia_NH.png/revision/latest?cb=20200225031028""",celia
Cesar,Male,Cranky,Gorilla,September 6,highness,Vaulting,Basketball player,Blend,Just a little bit of milk,One spoonful of sugar,Historical,K.K. Lament,"https://vignette.wikia.nocookie.net/animalcrossing/images/c/c3/-Cesar_-_Animal_Crossing_New_Leaf.png/revision/latest?cb=20130708032553""",cesar
Chadder,Male,Smug,Mouse,December 15,fromage,Cramming for tests,Actor,Kilamanjaro,Lots of milk,Three spoonfuls of sugar,Official,K.K. Soul,"https://vignette.wikia.nocookie.net/animalcrossing/images/3/32/Chadder_NH.png/revision/latest?cb=20200321101735""",chadder
Charlise,Female,Sisterly,Bear,April 17,urgh,Hitting snooze,Archeologist,Kilimanjaro,Lots of milk,Three spoonfuls of sugar,Sporty,Mr. K.K.,"https://vignette.wikia.nocookie.net/animalcrossing/images/3/34/Charlise_HHD.png/revision/latest?cb=20160624003805""",charlise
Cheri,Female,Peppy,Cub,March 17,tralala,Staying positive,Marathon runner,Mocha,Lots of milk,Three spoonfuls of sugar,Sporty,[[K.K. SynthK.K. Disco (NH)]],"https://vignette.wikia.nocookie.net/animalcrossing/images/0/00/Cheri_NewLeaf_Official.png/revision/latest?cb=20130818185212""",cheri
Cherry,Female,Sisterly,Dog,May 11,what what,Waking up early,Dancer,Mocha,The regular amount of milk,Two spoonfuls of sugar,Rock 'n' roll,K.K. Fusion,"https://vignette.wikia.nocookie.net/animalcrossing/images/7/73/Cherry-0.png/revision/latest?cb=20171121001756""",cherry
Chester,Male,Lazy,Cub,August 6,rookie,Trivia,Teacher,Blend,Just a little bit of milk,One spoonful of sugar,Basic,Imperial K.K.,"https://vignette.wikia.nocookie.net/animalcrossing/images/5/5a/Chester_-_Animal_Crossing_New_Leaf.png/revision/latest?cb=20130708001600""",chester
Chevre,Female,Normal,Goat,March 6,la baa,Calculating tips,Teacher,Blue Mountain,No Milk,No Sugar,Cute,K.K. Chorale,"https://vignette.wikia.nocookie.net/animalcrossing/images/c/c9/Chevre_NH.png/revision/latest?cb=20200409163246""",chevre
Chief,Male,Cranky,Wolf,December 19,harrumph,Speed reading,Poet,Blend,Lots of milk,Three spoonfuls of sugar,Iconic,DJ K.K.,"https://vignette.wikia.nocookie.net/animalcrossing/images/e/e2/NH-icon-Chief_00.png/revision/latest?cb=20200224180941""",chief
Chops,Male,Smug,Pig,October 13,zoink,Making crafts,Politician,Mocha,No milk,No sugar,Ornate,K.K. Moody,"https://vignette.wikia.nocookie.net/animalcrossing/images/3/32/Chops_NH.png/revision/latest?cb=20200312184054""",chops
Chow,Male,Cranky,Bear,July 22,aiya,Trivia,Chef,Blend,The regular amount of milk,Two spoonfuls of sugar,Flashy,K.K. Steppe,"https://vignette.wikia.nocookie.net/animalcrossing/images/d/dc/Chow_NewHorizons.png/revision/latest?cb=20200408112145""",chow
Chrissy,Female,Peppy,Rabbit,August 28,sparkles,Staying awake,Model,Blue Mountain,Lots of milk,Three spoonfuls of sugar,Cute,K.K. Waltz,"https://vignette.wikia.nocookie.net/animalcrossing/images/f/f5/Chrissy_NH_pic.png/revision/latest?cb=20200321123018""",chrissy
Claude,Male,Lazy,Rabbit,December 3,hopalong,Calculating tips,Superhero,Blend,No Milk,No Sugar,,Pondering,"https://vignette.wikia.nocookie.net/animalcrossing/images/1/1f/Claude_NH.png/revision/latest?cb=20200322125457""",claude
Claudia,Female,Snooty,Tiger,November 22,ooh la la,Stomping around,CEO,Mocha,A little bit of milk,One spoonful of sugar,Ornate,K.K. Synth,"https://vignette.wikia.nocookie.net/animalcrossing/images/d/d6/Claudia_NH.png/revision/latest?cb=20200308194357""",claudia
Clay,Male,Lazy,Hamster,October 19,thump,Writing backwards,Archeologist,Mocha,No Milk,No Sugar,Historical,K.K. Safari,"https://vignette.wikia.nocookie.net/animalcrossing/images/4/47/Clay_HD.png/revision/latest?cb=20180405153835""",clay
Cleo,Female,Snooty,Horse,February 9,sugar,Juggling,Dermatologist,Mocha,A little bit of milk,Initial phrase sugar,,[[K.K. Bossa (Animal Crossing)K.K. Synth (New Leaf)]],"https://vignette.wikia.nocookie.net/animalcrossing/images/3/37/Cleo_HD.png/revision/latest?cb=20180405152002""",cleo
Clyde,Male,Lazy,Horse,May 1,clip-clawp,Pretending to Sleep,Superhero,Blend,Lots of milk,Three spoonfuls of sugar,Flashy,K.K. Dixie,"https://vignette.wikia.nocookie.net/animalcrossing/images/a/a2/Clyde_NewHorizons.png/revision/latest?cb=20200407223055""",clyde
Coach,Male,Jock,Bull,April 29,stubble,Eating quickly,Fisherman,Blend,Lots of milk,Three spoonfuls of sugar,Sporty,Marine Song 2001,"https://vignette.wikia.nocookie.net/animalcrossing/images/9/98/Coach_HHD.png/revision/latest?cb=20160624003056""",coach
Cobb,Male,Jock,Pig,October 7,hot dog,Debating,Teacher,Blue Mountain,A little bit of milk,One spoonful of sugar,Official,Pondering,"https://vignette.wikia.nocookie.net/animalcrossing/images/a/a4/Cobb_NewLeaf_Official.png/revision/latest?cb=20130721181251""",cobb
Coco,Female,Normal,Rabbit,March 1,doyoing,Writing backwards,Astronaut,Mocha,The regular amount of milk,Two spoonfuls of sugar,Iconic,K.K. Dirge,"https://vignette.wikia.nocookie.net/animalcrossing/images/8/83/Coco_NH.png/revision/latest?cb=20200321103716""",coco
Cole,Male,Lazy,Rabbit,August 10,duuude,Drawing circles,Painter,Blend,No milk,No sugar,Modern,Spring Blossoms,"https://vignette.wikia.nocookie.net/animalcrossing/images/f/f6/Cole_NH.png/revision/latest?cb=20200322122206""",cole
Colton,Male,Smug,Horse,May 22,check it,Writing about pickles,Model,Kilimanjaro,No milk,No sugar,Ornate,Only Me,"https://vignette.wikia.nocookie.net/animalcrossing/images/f/f7/Colton_HD.png/revision/latest?cb=20180405151848""",colton
Cookie,Female,Peppy,Dog,June 18,arfer,Dancing,Actor,Blend,No Milk,No Sugar,Cute,Bubblegum K.K.,"https://vignette.wikia.nocookie.net/animalcrossing/images/7/7e/Cookie_NewLeaf_Official.png/revision/latest?cb=20130721181436""",cookie
Cousteau,Male,Jock,Frog,December 17,oui oui,Telling jokes,CEO,Blue mountain,The regular amount of milk,Two spoonfuls of sugar,Iconic,Imperial K.K.,"https://vignette.wikia.nocookie.net/animalcrossing/images/1/16/Cousteau_NewLeaf_Official.png/revision/latest?cb=20130721181726""",cousteau
Cranston,Male,Lazy,Ostrich,September 23,sweatband,Backflipping,CEO,Blend,No Milk,No Sugar,Modern,Steep Hill,"https://vignette.wikia.nocookie.net/animalcrossing/images/b/b7/Cranston_NH.png/revision/latest?cb=20200308184820""",cranston
Croque,Male,Cranky,Frog,July 18,as if,Bunting,Architect,Kilamanjaro,No Milk,No Sugar,Iconic,K.K. Jongara,"https://vignette.wikia.nocookie.net/animalcrossing/images/0/05/Croque_HHD.png/revision/latest?cb=20161013031016""",croque
